School_Code,C_NAME,Expected,Reported,SpillOver,Class_Commencement_Date
SOB,MBA,240,100,120,2022.07.28
SOCS,M.Tech,5,4,1,2022.07.28
SOD,M.Des,13,5,4,2022.07.28
SOE,M.Tech,37,14,4,2022.07.28
SOD,B.Des,11,2,6,2022.08.04
SOCS,MCA,20,2,5,2022.08.30
